Notes,County,County Code,Year,Year Code,Births,Total Population,Birth Rate,Average Age of Mother,Average LMP Gestational Age
,"Baldwin County, AL",1003,2013,2013,2160,195540,11.05,27.31,38.45
,"Baldwin County, AL",1003,2014,2014,2244,200111,11.21,27.48,38.45
,"Baldwin County, AL",1003,2015,2015,2344,203709,11.51,27.53,38.39
,"Baldwin County, AL",1003,2016,2016,2247,208563,10.77,27.72,38.56
,"Baldwin County, AL",1003,2017,2017,2322,212628,10.92,27.96,38.51
Total,"Baldwin County, AL",1003,,,11317,1020551,11.09,27.6,38.47
,"Calhoun County, AL",1015,2013,2013,1347,116736,11.54,25.91,37.06
,"Calhoun County, AL",1015,2014,2014,1291,115916,11.14,26.13,38.23
,"Calhoun County, AL",1015,2015,2015,1400,115620,12.11,26.27,38.39
,"Calhoun County, AL",1015,2016,2016,1357,114611,11.84,26.46,38.45
,"Calhoun County, AL",1015,2017,2017,1338,114728,11.66,26.46,38.4
Total,"Calhoun County, AL",1015,,,6733,577611,11.66,26.25,38.11
,"Etowah County, AL",1055,2013,2013,1182,103931,11.37,25.85,38.75
,"Etowah County, AL",1055,2014,2014,1159,103531,11.19,25.96,37.94
,"Etowah County, AL",1055,2015,2015,1214,103057,11.78,25.8,38.7
,"Etowah County, AL",1055,2016,2016,1214,102564,11.84,26.33,38.64
,"Etowah County, AL",1055,2017,2017,1213,102755,11.8,26.29,38.48
Total,"Etowah County, AL",1055,,,5982,515838,11.6,26.05,38.51
,"Houston County, AL",1069,2014,2014,1303,104193,12.51,26.65,38.36
,"Houston County, AL",1069,2015,2015,1294,104173,12.42,26.91,38.35
,"Houston County, AL",1069,2016,2016,1333,104056,12.81,26.95,38.27
,"Houston County, AL",1069,2017,2017,1295,104346,12.41,26.82,38.36
Total,"Houston County, AL",1069,,,5225,416768,12.54,26.83,38.34
,"Jefferson County, AL",1073,2013,2013,8640,659479,13.1,27.48,38.16
,"Jefferson County, AL",1073,2014,2014,8925,660793,13.51,27.75,38.34
,"Jefferson County, AL",1073,2015,2015,8792,660367,13.31,27.95,38.32
,"Jefferson County, AL",1073,2016,2016,8655,659521,13.12,28.12,38.34
,"Jefferson County, AL",1073,2017,2017,8706,659197,13.21,28.32,38.25
Total,"Jefferson County, AL",1073,,,43718,3299357,13.25,27.92,38.29
,"Lee County, AL",1081,2013,2013,1858,150933,12.31,27.15,38.72
,"Lee County, AL",1081,2014,2014,1890,154255,12.25,27.63,38.7
,"Lee County, AL",1081,2015,2015,1988,156993,12.66,27.83,38.68
,"Lee County, AL",1081,2016,2016,1898,158991,11.94,27.94,38.65
,"Lee County, AL",1081,2017,2017,1898,161604,11.74,28.1,38.56
Total,"Lee County, AL",1081,,,9532,782776,12.18,27.73,38.66
,"Madison County, AL",1089,2013,2013,4106,346892,11.84,27.71,38.47
,"Madison County, AL",1089,2014,2014,4254,350299,12.14,27.98,38.28
,"Madison County, AL",1089,2015,2015,4159,353089,11.78,28.3,38.27
,"Madison County, AL",1089,2016,2016,4228,356967,11.84,28.32,38.23
,"Madison County, AL",1089,2017,2017,4253,361046,11.78,28.42,38.21
Total,"Madison County, AL",1089,,,21000,1768293,11.88,28.15,38.29
,"Mobile County, AL",1097,2013,2013,5578,414079,13.47,26.36,38.07
,"Mobile County, AL",1097,2014,2014,5682,415123,13.69,26.65,38.17
,"Mobile County, AL",1097,2015,2015,5663,415395,13.63,26.71,38.21
,"Mobile County, AL",1097,2016,2016,5504,414836,13.27,26.95,38.22
,"Mobile County, AL",1097,2017,2017,5607,413955,13.54,27.1,38.27
Total,"Mobile County, AL",1097,,,28034,2073388,13.52,26.75,38.19
,"Montgomery County, AL",1101,2013,2013,3166,226659,13.97,26.74,38.19
,"Montgomery County, AL",1101,2014,2014,3254,226189,14.39,27,38.11
,"Montgomery County, AL",1101,2015,2015,3129,226519,13.81,27.13,38.12
,"Montgomery County, AL",1101,2016,2016,3139,226349,13.87,27.22,38.09
,"Montgomery County, AL",1101,2017,2017,3172,226646,14,27.15,38.18
Total,"Montgomery County, AL",1101,,,15860,1132362,14.01,27.05,38.14
,"Morgan County, AL",1103,2013,2013,1413,119787,11.8,26.52,38.63
,"Morgan County, AL",1103,2014,2014,1365,119607,11.41,26.43,38.4
,"Morgan County, AL",1103,2015,2015,1386,119565,11.59,26.37,38.44
,"Morgan County, AL",1103,2016,2016,1470,119012,12.35,26.78,38.23
,"Morgan County, AL",1103,2017,2017,1435,118818,12.08,26.7,38.15
Total,"Morgan County, AL",1103,,,7069,596789,11.85,26.56,38.37
,"Shelby County, AL",1117,2013,2013,2328,204180,11.4,29,38.53
,"Shelby County, AL",1117,2014,2014,2410,206655,11.66,29.19,38.75
,"Shelby County, AL",1117,2015,2015,2399,208713,11.49,29.08,38.58
,"Shelby County, AL",1117,2016,2016,2387,210622,11.33,29.36,38.56
,"Shelby County, AL",1117,2017,2017,2283,213605,10.69,29.49,38.41
Total,"Shelby County, AL",1117,,,11807,1043775,11.31,29.22,38.57
,"Tuscaloosa County, AL",1125,2013,2013,2419,200821,12.05,26.95,38.38
,"Tuscaloosa County, AL",1125,2014,2014,2521,202212,12.47,27.01,38.33
,"Tuscaloosa County, AL",1125,2015,2015,2530,203976,12.4,27.06,38.23
,"Tuscaloosa County, AL",1125,2016,2016,2591,206102,12.57,27.03,38.2
,"Tuscaloosa County, AL",1125,2017,2017,2538,207811,12.21,27.43,38.31
Total,"Tuscaloosa County, AL",1125,,,12599,1020922,12.34,27.1,38.29
,"Unidentified Counties, AL",1999,2013,2013,23970,2094685,11.44,26.01,38.36
,"Unidentified Counties, AL",1999,2014,2014,23124,1990493,11.62,26.16,38.32
,"Unidentified Counties, AL",1999,2015,2015,23359,1987803,11.75,26.34,38.31
,"Unidentified Counties, AL",1999,2016,2016,23128,1981106,11.67,26.46,38.34
,"Unidentified Counties, AL",1999,2017,2017,22881,1977608,11.57,26.56,38.29
Total,"Unidentified Counties, AL",1999,,,116462,10031695,11.61,26.3,38.32
,"Anchorage Borough, AK",2020,2013,2013,4778,300950,15.88,28.09,38.78
,"Anchorage Borough, AK",2020,2014,2014,4691,301010,15.58,28.11,38.87
,"Anchorage Borough, AK",2020,2015,2015,4589,298695,15.36,28.35,38.82
,"Anchorage Borough, AK",2020,2016,2016,4518,298192,15.15,28.6,38.78
,"Anchorage Borough, AK",2020,2017,2017,4136,294356,14.05,28.92,38.73
Total,"Anchorage Borough, AK",2020,,,22712,1493203,15.21,28.4,38.8
,"Unidentified Counties, AK",2999,2013,2013,6668,434182,15.36,27.34,38.9
,"Unidentified Counties, AK",2999,2014,2014,6701,435722,15.38,27.44,38.87
,"Unidentified Counties, AK",2999,2015,2015,6693,439737,15.22,27.67,38.9
,"Unidentified Counties, AK",2999,2016,2016,6691,443702,15.08,27.81,38.84
,"Unidentified Counties, AK",2999,2017,2017,6309,445439,14.16,28.09,38.84
Total,"Unidentified Counties, AK",2999,,,33062,2198782,15.04,27.67,38.87
,"Cochise County, AZ",4003,2013,2013,1618,129473,12.5,26.67,38.7
,"Cochise County, AZ",4003,2014,2014,1648,127448,12.93,27.11,38.65
,"Cochise County, AZ",4003,2015,2015,1570,126427,12.42,26.96,38.68
,"Cochise County, AZ",4003,2016,2016,1529,125770,12.16,27.25,38.59
,"Cochise County, AZ",4003,2017,2017,1335,124756,10.7,27.28,38.64
Total,"Cochise County, AZ",4003,,,7700,633874,12.15,27.04,38.65
,"Coconino County, AZ",4005,2013,2013,1647,136539,12.06,27.22,38.58
,"Coconino County, AZ",4005,2014,2014,1705,137682,12.38,27.43,38.73
,"Coconino County, AZ",4005,2015,2015,1575,139097,11.32,27.69,38.7
,"Coconino County, AZ",4005,2016,2016,1612,140908,11.44,28.09,38.72
,"Coconino County, AZ",4005,2017,2017,1508,140776,10.71,28.14,38.53
Total,"Coconino County, AZ",4005,,,8047,695002,11.58,27.7,38.66
,"Maricopa County, AZ",4013,2013,2013,54015,4009412,13.47,27.92,38.61
,"Maricopa County, AZ",4013,2014,2014,55410,4087191,13.56,28.11,38.6
,"Maricopa County, AZ",4013,2015,2015,54736,4167947,13.13,28.26,38.63
,"Maricopa County, AZ",4013,2016,2016,54126,4242997,12.76,28.37,38.64
,"Maricopa County, AZ",4013,2017,2017,52633,4307033,12.22,28.53,38.55
Total,"Maricopa County, AZ",4013,,,270920,20814580,13.02,28.24,38.6
,"Mohave County, AZ",4015,2013,2013,1884,203030,9.28,26.15,38.82
,"Mohave County, AZ",4015,2014,2014,1869,203361,9.19,26.28,38.68
,"Mohave County, AZ",4015,2015,2015,1852,204737,9.05,26.45,38.65
,"Mohave County, AZ",4015,2016,2016,1802,205249,8.78,26.56,38.77
,"Mohave County, AZ",4015,2017,2017,1753,207200,8.46,26.97,38.61
