ID,State,State Code,Year,Year Code,Month,Month Code,Births,Average Age of Mother,Average LMP Gestational Age
1,Alabama,1,2013,2013,January,1,4934,26.34,38.17
2,Alabama,1,2013,2013,February,2,4307,26.53,38.29
3,Alabama,1,2013,2013,March,3,4581,26.55,38.25
4,Alabama,1,2013,2013,April,4,4572,26.66,38.25
5,Alabama,1,2013,2013,May,5,4761,26.86,38.19
6,Alabama,1,2013,2013,June,6,4545,26.64,38.31
7,Alabama,1,2013,2013,July,7,5282,26.71,38.44
8,Alabama,1,2013,2013,August,8,5308,26.76,38.45
9,Alabama,1,2013,2013,September,9,4884,26.72,38.34
10,Alabama,1,2013,2013,October,10,4972,26.77,38.35
11,Alabama,1,2013,2013,November,11,4774,26.76,38.29
12,Alabama,1,2013,2013,December,12,5247,26.7,38.33
13,Alabama,1,2014,2014,January,1,4924,26.72,38.32
14,Alabama,1,2014,2014,February,2,4590,26.85,38.41
15,Alabama,1,2014,2014,March,3,4668,26.96,38.27
16,Alabama,1,2014,2014,April,4,4685,26.81,38.29
17,Alabama,1,2014,2014,May,5,4832,27.01,38.22
18,Alabama,1,2014,2014,June,6,4746,26.89,38.32
19,Alabama,1,2014,2014,July,7,5193,26.9,38.37
20,Alabama,1,2014,2014,August,8,5165,26.78,38.27
21,Alabama,1,2014,2014,September,9,5138,26.86,38.46
22,Alabama,1,2014,2014,October,10,5271,26.99,38.37
23,Alabama,1,2014,2014,November,11,4753,27.02,38.28
24,Alabama,1,2014,2014,December,12,5457,26.89,38.27
25,Alabama,1,2015,2015,January,1,4970,26.93,38.34
26,Alabama,1,2015,2015,February,2,4473,27.02,38.22
27,Alabama,1,2015,2015,March,3,4941,27.02,38.33
28,Alabama,1,2015,2015,April,4,4643,27.07,38.21
29,Alabama,1,2015,2015,May,5,4700,27.11,38.32
30,Alabama,1,2015,2015,June,6,4953,27.06,38.3
31,Alabama,1,2015,2015,July,7,5339,26.9,38.41
32,Alabama,1,2015,2015,August,8,5192,27.12,38.42
33,Alabama,1,2015,2015,September,9,5217,27.01,38.36
34,Alabama,1,2015,2015,October,10,5129,27.05,38.33
35,Alabama,1,2015,2015,November,11,4886,26.99,38.35
36,Alabama,1,2015,2015,December,12,5214,27.08,38.31
37,Alabama,1,2016,2016,January,1,4805,27.05,38.26
38,Alabama,1,2016,2016,February,2,4718,27.16,38.39
39,Alabama,1,2016,2016,March,3,4825,27.31,38.26
40,Alabama,1,2016,2016,April,4,4527,27.24,38.34
41,Alabama,1,2016,2016,May,5,4802,27.32,38.22
42,Alabama,1,2016,2016,June,6,5047,27.19,38.29
43,Alabama,1,2016,2016,July,7,5043,27.15,38.31
44,Alabama,1,2016,2016,August,8,5325,27.13,38.36
45,Alabama,1,2016,2016,September,9,5239,27.28,38.46
46,Alabama,1,2016,2016,October,10,4973,27.21,38.46
47,Alabama,1,2016,2016,November,11,4910,27.01,38.34
48,Alabama,1,2016,2016,December,12,4937,27.06,38.3
49,Alabama,1,2017,2017,January,1,4937,27.16,38.32
50,Alabama,1,2017,2017,February,2,4497,27.25,38.4
51,Alabama,1,2017,2017,March,3,4809,27.38,38.25
52,Alabama,1,2017,2017,April,4,4383,27.28,38.3
53,Alabama,1,2017,2017,May,5,4763,27.34,38.23
54,Alabama,1,2017,2017,June,6,4823,27.33,38.31
55,Alabama,1,2017,2017,July,7,5053,27.09,38.26
56,Alabama,1,2017,2017,August,8,5539,27.29,38.34
57,Alabama,1,2017,2017,September,9,5211,27.31,38.3
58,Alabama,1,2017,2017,October,10,5061,27.27,38.28
59,Alabama,1,2017,2017,November,11,4969,27.44,38.27
60,Alabama,1,2017,2017,December,12,4896,27.4,38.32
61,Alaska,2,2013,2013,January,1,974,27.32,38.69
62,Alaska,2,2013,2013,February,2,836,27.58,38.86
63,Alaska,2,2013,2013,March,3,983,27.61,38.8
64,Alaska,2,2013,2013,April,4,917,27.53,38.8
65,Alaska,2,2013,2013,May,5,945,27.44,38.91
66,Alaska,2,2013,2013,June,6,982,27.44,38.83
67,Alaska,2,2013,2013,July,7,961,27.8,38.95
68,Alaska,2,2013,2013,August,8,1041,27.72,38.96
69,Alaska,2,2013,2013,September,9,965,27.61,39.03
70,Alaska,2,2013,2013,October,10,975,27.76,38.76
71,Alaska,2,2013,2013,November,11,939,28.04,38.89
72,Alaska,2,2013,2013,December,12,928,28,38.73
73,Alaska,2,2014,2014,January,1,952,27.67,38.89
74,Alaska,2,2014,2014,February,2,895,27.77,38.83
75,Alaska,2,2014,2014,March,3,914,27.46,38.9
76,Alaska,2,2014,2014,April,4,960,27.65,38.86
77,Alaska,2,2014,2014,May,5,997,27.45,38.9
78,Alaska,2,2014,2014,June,6,921,27.72,38.96
79,Alaska,2,2014,2014,July,7,1010,27.77,38.99
80,Alaska,2,2014,2014,August,8,977,27.89,38.84
81,Alaska,2,2014,2014,September,9,961,27.67,38.85
82,Alaska,2,2014,2014,October,10,978,27.81,38.82
83,Alaska,2,2014,2014,November,11,894,27.97,38.83
84,Alaska,2,2014,2014,December,12,933,27.77,38.76
85,Alaska,2,2015,2015,January,1,915,27.78,38.93
86,Alaska,2,2015,2015,February,2,887,27.79,38.84
87,Alaska,2,2015,2015,March,3,963,27.85,38.79
88,Alaska,2,2015,2015,April,4,940,28.06,38.86
89,Alaska,2,2015,2015,May,5,975,27.95,38.86
90,Alaska,2,2015,2015,June,6,906,27.96,38.97
91,Alaska,2,2015,2015,July,7,1020,27.71,38.96
92,Alaska,2,2015,2015,August,8,977,27.75,38.9
93,Alaska,2,2015,2015,September,9,962,27.96,38.86
94,Alaska,2,2015,2015,October,10,925,28.11,38.75
95,Alaska,2,2015,2015,November,11,880,28.13,38.84
96,Alaska,2,2015,2015,December,12,932,28.31,38.8
97,Alaska,2,2016,2016,January,1,938,28.06,38.95
98,Alaska,2,2016,2016,February,2,840,27.91,39.05
99,Alaska,2,2016,2016,March,3,967,28.2,38.74
100,Alaska,2,2016,2016,April,4,912,28.32,38.84
101,Alaska,2,2016,2016,May,5,955,28.3,38.87
102,Alaska,2,2016,2016,June,6,980,28.11,38.87
103,Alaska,2,2016,2016,July,7,955,27.97,38.72
104,Alaska,2,2016,2016,August,8,957,28.2,38.81
105,Alaska,2,2016,2016,September,9,951,27.9,38.75
106,Alaska,2,2016,2016,October,10,958,28.09,38.78
107,Alaska,2,2016,2016,November,11,897,28.21,38.8
108,Alaska,2,2016,2016,December,12,899,28.31,38.67
109,Alaska,2,2017,2017,January,1,796,28.4,38.57
110,Alaska,2,2017,2017,February,2,783,28.61,38.73
111,Alaska,2,2017,2017,March,3,906,28.15,38.82
112,Alaska,2,2017,2017,April,4,867,28.21,38.76
113,Alaska,2,2017,2017,May,5,895,28.8,38.87
114,Alaska,2,2017,2017,June,6,896,28.43,38.79
115,Alaska,2,2017,2017,July,7,911,28.23,38.91
116,Alaska,2,2017,2017,August,8,929,28.45,38.91
117,Alaska,2,2017,2017,September,9,934,28.19,38.83
118,Alaska,2,2017,2017,October,10,864,28.61,38.75
119,Alaska,2,2017,2017,November,11,806,28.44,38.95
120,Alaska,2,2017,2017,December,12,858,28.54,38.6
