"Notes"	"State"	"State Code"	"Year"	"Year Code"	"Month"	"Month Code"	Births	Average Age of Mother	Average LMP Gestational Age
	"Alabama"	"01"	"2013"	"2013"	"January"	"1"	4934	26.34	38.17
	"Alabama"	"01"	"2013"	"2013"	"February"	"2"	4307	26.53	38.29
	"Alabama"	"01"	"2013"	"2013"	"March"	"3"	4581	26.55	38.25
	"Alabama"	"01"	"2013"	"2013"	"April"	"4"	4572	26.66	38.25
	"Alabama"	"01"	"2013"	"2013"	"May"	"5"	4761	26.86	38.19
	"Alabama"	"01"	"2013"	"2013"	"June"	"6"	4545	26.64	38.31
	"Alabama"	"01"	"2013"	"2013"	"July"	"7"	5282	26.71	38.44
	"Alabama"	"01"	"2013"	"2013"	"August"	"8"	5308	26.76	38.45
	"Alabama"	"01"	"2013"	"2013"	"September"	"9"	4884	26.72	38.34
	"Alabama"	"01"	"2013"	"2013"	"October"	"10"	4972	26.77	38.35
	"Alabama"	"01"	"2013"	"2013"	"November"	"11"	4774	26.76	38.29
	"Alabama"	"01"	"2013"	"2013"	"December"	"12"	5247	26.70	38.33
"Total"	"Alabama"	"01"	"2013"	"2013"			58167	26.67	38.31
	"Alabama"	"01"	"2014"	"2014"	"January"	"1"	4924	26.72	38.32
	"Alabama"	"01"	"2014"	"2014"	"February"	"2"	4590	26.85	38.41
	"Alabama"	"01"	"2014"	"2014"	"March"	"3"	4668	26.96	38.27
	"Alabama"	"01"	"2014"	"2014"	"April"	"4"	4685	26.81	38.29
	"Alabama"	"01"	"2014"	"2014"	"May"	"5"	4832	27.01	38.22
	"Alabama"	"01"	"2014"	"2014"	"June"	"6"	4746	26.89	38.32
	"Alabama"	"01"	"2014"	"2014"	"July"	"7"	5193	26.90	38.37
	"Alabama"	"01"	"2014"	"2014"	"August"	"8"	5165	26.78	38.27
	"Alabama"	"01"	"2014"	"2014"	"September"	"9"	5138	26.86	38.46
	"Alabama"	"01"	"2014"	"2014"	"October"	"10"	5271	26.99	38.37
