ID,state,stateCode,county,countyCode,year,yearCode,month,monthCode,births,aveAgeofMother,AveLMPGestationalAge
1,Alabama,1,"Baldwin County, AL",1003,2017,2017,January,1,183,27.5,38.42
2,Alabama,1,"Baldwin County, AL",1003,2017,2017,February,2,182,27.31,38.35
3,Alabama,1,"Baldwin County, AL",1003,2017,2017,March,3,172,27.22,38.51
4,Alabama,1,"Baldwin County, AL",1003,2017,2017,April,4,192,28.89,38.42
5,Alabama,1,"Baldwin County, AL",1003,2017,2017,May,5,217,28.49,38.63
6,Alabama,1,"Baldwin County, AL",1003,2017,2017,June,6,175,28.49,38.58
7,Alabama,1,"Baldwin County, AL",1003,2017,2017,July,7,188,28.24,38.63
8,Alabama,1,"Baldwin County, AL",1003,2017,2017,August,8,227,27.14,38.63
9,Alabama,1,"Baldwin County, AL",1003,2017,2017,September,9,182,28.19,38.68
10,Alabama,1,"Baldwin County, AL",1003,2017,2017,October,10,217,27.95,38.49
11,Alabama,1,"Baldwin County, AL",1003,2017,2017,November,11,201,27.84,38.44
12,Alabama,1,"Baldwin County, AL",1003,2017,2017,December,12,186,28.27,38.24
13,Alabama,1,"Calhoun County, AL",1015,2017,2017,January,1,114,26.11,38.23
14,Alabama,1,"Calhoun County, AL",1015,2017,2017,February,2,95,27.12,38.66
15,Alabama,1,"Calhoun County, AL",1015,2017,2017,March,3,113,26,38.5
16,Alabama,1,"Calhoun County, AL",1015,2017,2017,April,4,99,25.78,38.9
17,Alabama,1,"Calhoun County, AL",1015,2017,2017,May,5,95,26.37,38.31
18,Alabama,1,"Calhoun County, AL",1015,2017,2017,June,6,129,26.45,38.53
19,Alabama,1,"Calhoun County, AL",1015,2017,2017,July,7,124,26.9,38.29
20,Alabama,1,"Calhoun County, AL",1015,2017,2017,August,8,112,26.57,38.39
21,Alabama,1,"Calhoun County, AL",1015,2017,2017,September,9,121,26.83,38.14
22,Alabama,1,"Calhoun County, AL",1015,2017,2017,October,10,108,26.31,38.62
23,Alabama,1,"Calhoun County, AL",1015,2017,2017,November,11,110,26.29,38.08
24,Alabama,1,"Calhoun County, AL",1015,2017,2017,December,12,118,26.67,38.26
25,Alabama,1,"Etowah County, AL",1055,2017,2017,January,1,94,26.49,38.3
26,Alabama,1,"Etowah County, AL",1055,2017,2017,February,2,93,26.68,38.14
27,Alabama,1,"Etowah County, AL",1055,2017,2017,March,3,95,26.27,38.57
28,Alabama,1,"Etowah County, AL",1055,2017,2017,April,4,95,26,38.38
29,Alabama,1,"Etowah County, AL",1055,2017,2017,May,5,114,26,38.49
30,Alabama,1,"Etowah County, AL",1055,2017,2017,June,6,104,26.69,38.29
31,Alabama,1,"Etowah County, AL",1055,2017,2017,July,7,108,26.62,38.85
32,Alabama,1,"Etowah County, AL",1055,2017,2017,August,8,113,26.42,38.45
33,Alabama,1,"Etowah County, AL",1055,2017,2017,September,9,107,25.77,38.78
34,Alabama,1,"Etowah County, AL",1055,2017,2017,October,10,88,25.97,38.25
35,Alabama,1,"Etowah County, AL",1055,2017,2017,November,11,94,26.28,38.51
36,Alabama,1,"Etowah County, AL",1055,2017,2017,December,12,108,26.34,38.69
37,Alabama,1,"Houston County, AL",1069,2017,2017,January,1,122,26.41,38.06
38,Alabama,1,"Houston County, AL",1069,2017,2017,February,2,96,26.41,38.19
39,Alabama,1,"Houston County, AL",1069,2017,2017,March,3,97,26.38,37.78
40,Alabama,1,"Houston County, AL",1069,2017,2017,April,4,106,26.33,38.74
41,Alabama,1,"Houston County, AL",1069,2017,2017,May,5,99,27.48,37.74
42,Alabama,1,"Houston County, AL",1069,2017,2017,June,6,108,26.94,38.78
43,Alabama,1,"Houston County, AL",1069,2017,2017,July,7,120,26.53,38.51
44,Alabama,1,"Houston County, AL",1069,2017,2017,August,8,120,26.47,38.92
45,Alabama,1,"Houston County, AL",1069,2017,2017,September,9,105,26.61,38.6
46,Alabama,1,"Houston County, AL",1069,2017,2017,October,10,114,26.79,38.2
47,Alabama,1,"Houston County, AL",1069,2017,2017,November,11,109,27.51,38.43
48,Alabama,1,"Houston County, AL",1069,2017,2017,December,12,99,28.2,38.25
49,Alabama,1,"Jefferson County, AL",1073,2017,2017,January,1,737,27.99,38.23
50,Alabama,1,"Jefferson County, AL",1073,2017,2017,February,2,653,28.2,38.42
51,Alabama,1,"Jefferson County, AL",1073,2017,2017,March,3,700,28.57,38.16
52,Alabama,1,"Jefferson County, AL",1073,2017,2017,April,4,633,28.77,38.19
53,Alabama,1,"Jefferson County, AL",1073,2017,2017,May,5,713,28.57,38.19
54,Alabama,1,"Jefferson County, AL",1073,2017,2017,June,6,660,28.17,38.23
55,Alabama,1,"Jefferson County, AL",1073,2017,2017,July,7,770,28.08,38.14
56,Alabama,1,"Jefferson County, AL",1073,2017,2017,August,8,805,28.67,38.33
57,Alabama,1,"Jefferson County, AL",1073,2017,2017,September,9,781,28.33,38.38
58,Alabama,1,"Jefferson County, AL",1073,2017,2017,October,10,778,28.02,38.28
59,Alabama,1,"Jefferson County, AL",1073,2017,2017,November,11,743,28.21,38.28
60,Alabama,1,"Jefferson County, AL",1073,2017,2017,December,12,733,28.36,38.18
61,Alabama,1,"Lee County, AL",1081,2017,2017,January,1,166,27.61,38.81
62,Alabama,1,"Lee County, AL",1081,2017,2017,February,2,141,28.46,38.85
63,Alabama,1,"Lee County, AL",1081,2017,2017,March,3,146,27.6,38.66
64,Alabama,1,"Lee County, AL",1081,2017,2017,April,4,142,28.54,38.7
65,Alabama,1,"Lee County, AL",1081,2017,2017,May,5,151,28.18,38.64
66,Alabama,1,"Lee County, AL",1081,2017,2017,June,6,168,29.05,38.73
67,Alabama,1,"Lee County, AL",1081,2017,2017,July,7,173,26.76,38.36
68,Alabama,1,"Lee County, AL",1081,2017,2017,August,8,159,27.69,38.37
69,Alabama,1,"Lee County, AL",1081,2017,2017,September,9,175,28.43,38.61
70,Alabama,1,"Lee County, AL",1081,2017,2017,October,10,166,28.33,38.39
71,Alabama,1,"Lee County, AL",1081,2017,2017,November,11,161,28.17,38.16
72,Alabama,1,"Lee County, AL",1081,2017,2017,December,12,150,28.47,38.51
73,Alabama,1,"Madison County, AL",1089,2017,2017,January,1,356,28.8,38.13
74,Alabama,1,"Madison County, AL",1089,2017,2017,February,2,345,28.4,38.25
75,Alabama,1,"Madison County, AL",1089,2017,2017,March,3,376,28.77,38.02
76,Alabama,1,"Madison County, AL",1089,2017,2017,April,4,316,27.61,38.19
77,Alabama,1,"Madison County, AL",1089,2017,2017,May,5,315,28.5,38.32
78,Alabama,1,"Madison County, AL",1089,2017,2017,June,6,369,28.7,38.18
79,Alabama,1,"Madison County, AL",1089,2017,2017,July,7,370,27.71,38.02
80,Alabama,1,"Madison County, AL",1089,2017,2017,August,8,402,28.51,38.51
81,Alabama,1,"Madison County, AL",1089,2017,2017,September,9,379,28.48,38.33
82,Alabama,1,"Madison County, AL",1089,2017,2017,October,10,316,28.41,38
83,Alabama,1,"Madison County, AL",1089,2017,2017,November,11,370,28.6,38.27
84,Alabama,1,"Madison County, AL",1089,2017,2017,December,12,339,28.48,38.29
85,Alabama,1,"Mobile County, AL",1097,2017,2017,January,1,522,26.74,38.47
86,Alabama,1,"Mobile County, AL",1097,2017,2017,February,2,401,27.43,38.08
87,Alabama,1,"Mobile County, AL",1097,2017,2017,March,3,493,26.88,38.23
88,Alabama,1,"Mobile County, AL",1097,2017,2017,April,4,390,26.96,38.58
89,Alabama,1,"Mobile County, AL",1097,2017,2017,May,5,419,27.16,38.07
90,Alabama,1,"Mobile County, AL",1097,2017,2017,June,6,449,27.1,38.21
91,Alabama,1,"Mobile County, AL",1097,2017,2017,July,7,454,27.16,38.3
92,Alabama,1,"Mobile County, AL",1097,2017,2017,August,8,528,27.13,38.44
93,Alabama,1,"Mobile County, AL",1097,2017,2017,September,9,525,27.11,38.29
94,Alabama,1,"Mobile County, AL",1097,2017,2017,October,10,492,26.94,38.02
95,Alabama,1,"Mobile County, AL",1097,2017,2017,November,11,458,27.19,38.24
96,Alabama,1,"Mobile County, AL",1097,2017,2017,December,12,476,27.47,38.25
97,Alabama,1,"Montgomery County, AL",1101,2017,2017,January,1,281,26.8,38.44
98,Alabama,1,"Montgomery County, AL",1101,2017,2017,February,2,234,27.09,38.39
99,Alabama,1,"Montgomery County, AL",1101,2017,2017,March,3,254,27.89,37.92
100,Alabama,1,"Montgomery County, AL",1101,2017,2017,April,4,225,27.18,37.78
101,Alabama,1,"Montgomery County, AL",1101,2017,2017,May,5,255,26.83,38.18
102,Alabama,1,"Montgomery County, AL",1101,2017,2017,June,6,263,27.52,38.3
103,Alabama,1,"Montgomery County, AL",1101,2017,2017,July,7,276,27.04,38.1
104,Alabama,1,"Montgomery County, AL",1101,2017,2017,August,8,292,27.26,37.83
105,Alabama,1,"Montgomery County, AL",1101,2017,2017,September,9,283,26.79,38.42
106,Alabama,1,"Montgomery County, AL",1101,2017,2017,October,10,263,27.02,38.01
107,Alabama,1,"Montgomery County, AL",1101,2017,2017,November,11,271,27.69,38.34
108,Alabama,1,"Montgomery County, AL",1101,2017,2017,December,12,275,26.78,38.33
109,Alabama,1,"Morgan County, AL",1103,2017,2017,January,1,129,26.91,38.33
110,Alabama,1,"Morgan County, AL",1103,2017,2017,February,2,93,25.8,38.48
111,Alabama,1,"Morgan County, AL",1103,2017,2017,March,3,125,27.39,38
112,Alabama,1,"Morgan County, AL",1103,2017,2017,April,4,105,26.56,38.07
113,Alabama,1,"Morgan County, AL",1103,2017,2017,May,5,123,26.04,37.85
114,Alabama,1,"Morgan County, AL",1103,2017,2017,June,6,103,26.61,38.26
115,Alabama,1,"Morgan County, AL",1103,2017,2017,July,7,115,27.27,38.16
116,Alabama,1,"Morgan County, AL",1103,2017,2017,August,8,149,26.3,38
117,Alabama,1,"Morgan County, AL",1103,2017,2017,September,9,136,27.31,38.51
118,Alabama,1,"Morgan County, AL",1103,2017,2017,October,10,116,25.98,38.49
119,Alabama,1,"Morgan County, AL",1103,2017,2017,November,11,115,27.58,38.04
120,Alabama,1,"Morgan County, AL",1103,2017,2017,December,12,126,26.5,37.71
121,Alabama,1,"Shelby County, AL",1117,2017,2017,January,1,175,29.3,38.86
122,Alabama,1,"Shelby County, AL",1117,2017,2017,February,2,160,29.74,38.31
123,Alabama,1,"Shelby County, AL",1117,2017,2017,March,3,169,29.3,37.96
124,Alabama,1,"Shelby County, AL",1117,2017,2017,April,4,182,29.23,38.43
125,Alabama,1,"Shelby County, AL",1117,2017,2017,May,5,186,29.55,38.38
