state,st_cd,country,lat,lon
Alabama,AL,US,32.807,-86.791
Alaska,AK,US,61.371,-152.404
Arizona,AZ,US,33.73,-111.431
Arkansas,AR,US,34.97,-92.373
California,CA,US,36.116,-119.682
Colorado,CO,US,39.06,-105.311
Connecticut,CT,US,41.598,-72.755
Delaware,DE,US,39.319,-75.507
District of Columbia,DC,US,38.897,-77.027
Florida,FL,US,27.766,-81.687
Georgia,GA,US,33.041,-83.643
Hawaii,HI,US,21.094,-157.498
Idaho,ID,US,44.24,-114.479
Illinois,IL,US,40.349,-88.986
Indiana,IN,US,39.849,-86.258
Iowa,IA,US,42.012,-93.211
Kansas,KS,US,38.527,-96.726
Kentucky,KY,US,37.668,-84.67
Louisiana,LA,US,31.17,-91.868
Maine,ME,US,44.694,-69.382
Maryland,MD,US,39.064,-76.802
Massachusetts,MA,US,42.23,-71.53
Michigan,MI,US,43.327,-84.536
Minnesota,MN,US,45.694,-93.9
Mississippi,MS,US,32.742,-89.679
Missouri,MO,US,38.456,-92.288
Montana,MT,US,46.922,-110.454
Nebraska,NE,US,41.125,-98.268
Nevada,NV,US,38.314,-117.055
New Hampshire,NH,US,43.452,-71.564
New Jersey,NJ,US,40.299,-74.521
New Mexico,NM,US,34.841,-106.248
New York,NY,US,42.166,-74.948
North Carolina,NC,US,35.63,-79.806
North Dakota,ND,US,47.529,-99.784
Ohio,OH,US,40.389,-82.765
Oklahoma,OK,US,35.565,-96.929
Oregon,OR,US,44.572,-122.071
Pennsylvania,PA,US,40.591,-77.21
Rhode Island,RI,US,41.681,-71.512
South Carolina,SC,US,33.857,-80.945
South Dakota,SD,US,44.3,-99.439
Tennessee,TN,US,35.748,-86.692
Texas,TX,US,31.054,-97.563
Utah,UT,US,40.15,-111.862
Vermont,VT,US,44.046,-72.711
Virginia,VA,US,37.769,-78.17
Washington,WA,US,47.401,-121.49
West Virginia,WV,US,38.491,-80.954
Wisconsin,WI,US,44.269,-89.617
Wyoming,WY,US,42.756,-107.302
,,,,
